Threshold,Discount_Pct,Retention_Success_Rate_Pct,Customers_Targeted,Actual_Churners,Campaign_Cost,Revenue_Saved,Discount_Cost,Net_Benefit,ROI_Pct,Payback_Months
0.25,5,30,245,81,12250,196122506.73524612,32274757.956269767,163835498.77897635,1337432.6430936845,8.972414470340862e-4
0.25,5,40,245,81,12250,261496675.64699483,43033010.608359694,218451415.03863513,1783276.857458246,6.729185067260914e-4
0.25,5,50,245,81,12250,326870844.55874354,53791263.26044962,273067331.29829395,2229121.0718228077,5.383287678576966e-4
0.25,5,60,245,81,12250,392245013.47049224,64549515.912539534,327683247.5579527,2674965.286187369,4.486039524312337e-4
0.25,5,70,245,81,12250,457619182.38224095,75307768.56462947,382299163.81761146,3120809.50055193,3.845156199978801e-4
0.25,10,30,245,81,12250,196122506.73524612,64549515.912539534,131560740.82270658,1073965.231205768,0.001117354608074909
0.25,10,40,245,81,12250,261496675.64699483,86066021.21671939,175418404.43027544,1431986.974941024,8.379964489896437e-4
0.25,10,50,245,81,12250,326870844.55874354,107582526.52089924,219276068.0378443,1790008.7186762802,6.703877961485047e-4
0.25,10,60,245,81,12250,392245013.47049224,129099031.82507907,263133731.64541316,2148030.462411536,5.586512952208285e-4
0.25,10,70,245,81,12250,457619182.38224095,150615537.12925893,306991395.252982,2506052.206146792,4.788407827485259e-4
0.25,15,30,245,81,12250,196122506.73524612,96824273.8688093,99285982.86643682,810497.8193178517,0.0014805715344304929
0.25,15,40,245,81,12250,261496675.64699483,129099031.82507905,132385393.82191578,1080697.0924238022,0.0011103944004407596
0.25,15,50,245,81,12250,326870844.55874354,161373789.78134882,165484804.7773947,1350896.3655297528,8.88299080980517e-4
0.25,15,60,245,81,12250,392245013.47049224,193648547.7376186,198584215.73287365,1621095.6386357034,7.402401014476278e-4
0.25,15,70,245,81,12250,457619182.38224095,225923305.69388837,231683626.68835258,1891294.9117416537,6.344859241940989e-4
0.25,20,30,245,81,12250,196122506.73524612,129099031.82507907,67011224.91016705,547030.4074299352,0.0021936623333935943
0.25,20,40,245,81,12250,261496675.64699483,172132042.43343878,89352383.21355605,729407.20990658,0.0016451715635683007
0.25,20,50,245,81,12250,326870844.55874354,215165053.04179847,111693541.51694506,911784.0123832249,0.001316101163984478
0.25,20,60,245,81,12250,392245013.47049224,258198063.65015814,134034699.8203341,1094160.8148598704,0.001096730922642011
0.25,20,70,245,81,12250,457619182.38224095,301231074.25851786,156375858.1237231,1276537.617336515,9.400428030501678e-4
0.25,25,30,245,81,12250,196122506.73524612,161373789.78134882,34736466.9538973,283562.99554201873,0.004231863885152752
0.25,25,40,245,81,12250,261496675.64699483,215165053.04179844,46319372.60519639,378117.32738935825,0.0031736181155335567
0.25,25,50,245,81,12250,326870844.55874354,268956316.30224806,57902278.256495476,472671.6592366977,0.0025387602081703847
0.25,25,60,245,81,12250,392245013.47049224,322747579.56269765,69485183.9077946,567225.9910840375,0.0021155589110200238
0.25,25,70,245,81,12250,457619182.38224095,376538842.8231473,81068089.55909365,661780.3229313768,0.001813290541315224
0.25,30,30,245,81,12250,196122506.73524612,193648547.7376186,2461708.9976275265,20095.583654102258,0.05971461295452522
0.25,30,40,245,81,12250,261496675.64699483,258198063.6501581,3286361.996836722,26827.444872136504,0.044730312771841446
0.25,30,50,245,81,12250,326870844.55874354,322747579.56269765,4111014.9960458875,33559.30609017051,0.03575759274568192
0.25,30,60,245,81,12250,392245013.47049224,387297095.4752372,4935667.995255053,40291.167308204516,0.02978320262653803
0.25,30,70,245,81,12250,457619182.38224095,451846611.38777673,5760320.994464219,47023.028526238515,0.025519411182340336
0.3,5,30,209,76,10450,184016179.15899637,27532344.542287268,156473384.6167091,1497352.9628393217,8.01414248865229e-4
0.3,5,40,209,76,10450,245354905.5453285,36709792.72304969,208634662.8222788,1996503.9504524288,6.010506514289979e-4
0.3,5,50,209,76,10450,306693631.9316606,45887240.90381212,260795941.02784848,2495654.938065536,4.8083570436630935e-4
0.3,5,60,209,76,10450,368032358.31799275,55064689.084574535,312957219.2334182,2994805.9256786434,4.0069374436277436e-4
0.3,5,70,209,76,10450,429371084.70432484,64242137.26533696,365118497.43898785,3493956.9132917495,3.434501425690015e-4
0.3,10,30,209,76,10450,184016179.15899637,55064689.084574535,128941040.07442184,1233885.5509514052,9.725375251170765e-4
0.3,10,40,209,76,10450,245354905.5453285,73419585.44609939,171924870.0992291,1645214.0679352065,7.293883655553931e-4
0.3,10,50,209,76,10450,306693631.9316606,91774481.80762424,214908700.12403637,2056542.5849190084,5.835035990987071e-4
0.3,10,60,209,76,10450,368032358.31799275,110129378.16914907,257892530.14884368,2467871.1019028104,4.86249058581204e-4
0.3,10,70,209,76,10450,429371084.70432484,128484274.53067392,300876360.1736509,2879199.6188866114,4.167824947351309e-4
0.3,15,30,209,76,10450,184016179.15899637,82597033.6268618,101408695.53213458,970418.1390634887,0.0012365803478880469
0.3,15,40,209,76,10450,245354905.5453285,110129378.16914909,135215077.3761794,1293924.1854179846,9.27411368860345e-4
0.3,15,50,209,76,10450,306693631.9316606,137661722.71143633,169021459.22022426,1617430.231772481,7.419176273742363e-4
0.3,15,60,209,76,10450,368032358.31799275,165194067.2537236,202827841.06426916,1940936.2781269774,6.182583186904063e-4
0.3,15,70,209,76,10450,429371084.70432484,192726411.79601085,236634222.908314,2264442.3244814733,5.29931801321009e-4
0.3,20,30,209,76,10450,184016179.15899637,110129378.16914907,73876350.9898473,706950.7271755722,0.001697430887148629
0.3,20,40,209,76,10450,245354905.5453285,146839170.89219877,98505284.65312973,942634.3029007629,0.0012730281470844495
0.3,20,50,209,76,10450,306693631.9316606,183548963.61524847,123134218.31641212,1178317.8786259533,0.0010184009101171668
0.3,20,60,209,76,10450,368032358.31799275,220258756.33829814,147763151.9796946,1414001.4543511444,8.486554213274517e-4
0.3,20,70,209,76,10450,429371084.70432484,256968549.06134784,172392085.642977,1649685.0300763347,7.274115834975317e-4
0.3,25,30,209,76,10450,184016179.15899637,137661722.71143633,46344006.44756004,443483.3152876559,0.002705851513763592
0.3,25,40,209,76,10450,245354905.5453285,183548963.61524847,61795491.93008003,591344.4203835409,0.002029274241264829
0.3,25,50,209,76,10450,306693631.9316606,229436204.51906058,77246977.41260001,739205.525479426,0.0016233644888161746
0.3,25,60,209,76,10450,368032358.31799275,275323445.42287266,92698462.89512008,887066.6305753118,0.0013527732400684868
0.3,25,70,209,76,10450,429371084.70432484,321210686.3266848,108149948.37764007,1034927.7356711967,0.001159501246936576
0.3,30,30,209,76,10450,184016179.15899637,165194067.2537236,18811661.90527278,180015.90339973953,0.006666077703897667
0.3,30,40,209,76,10450,245354905.5453285,220258756.33829817,25085699.207030326,240054.53786631892,0.00499886405258564
0.3,30,50,209,76,10450,306693631.9316606,275323445.42287266,31359736.50878793,300093.17233289883,0.003998758087934163
0.3,30,60,209,76,10450,368032358.31799275,330388134.5074472,37633773.81054556,360131.80679947906,0.0033321133466785355
0.3,30,70,209,76,10450,429371084.70432484,385452823.5920217,43907811.11230314,420170.4412660587,0.0028559838630822214
0.35,5,30,189,73,9450,176752382.6132465,24897670.423408106,151845262.1898384,1606828.1713210414,7.468128960008395e-4
0.35,5,40,189,73,9450,235669843.48432872,33196893.89787748,202463499.58645123,2142470.895094722,5.601009576127503e-4
0.35,5,50,189,73,9450,294587304.3554109,41496117.37234685,253081736.98306403,2678113.618868402,4.480765832881438e-4
0.35,5,60,189,73,9450,353504765.226493,49795340.84681621,303699974.3796768,3213756.342642083,3.7339482899735333e-4
0.35,5,70,189,73,9450,412422226.0975751,58094564.321285576,354318211.7762896,3749399.066415763,3.200512878846849e-4
0.35,10,30,189,73,9450,176752382.6132465,49795340.84681621,126947591.76643029,1343360.759433125,8.932820104901527e-4
0.35,10,40,189,73,9450,235669843.48432872,66393787.79575496,169266605.68857375,1791181.0125775,6.699490400879174e-4
0.35,10,50,189,73,9450,294587304.3554109,82992234.7446937,211585619.61071718,2239001.265721875,5.359532477142699e-4
0.35,10,60,189,73,9450,353504765.226493,99590681.69363242,253904633.53286058,2686821.51886625,4.4662438184817e-4
0.35,10,70,189,73,9450,412422226.0975751,116189128.64257115,296223647.455004,3134641.772010624,3.82818863295596e-4
0.35,15,30,189,73,9450,176752382.6132465,74693011.2702243,102049921.3430222,1079893.3475452084,0.0011112208466954774
0.35,15,40,189,73,9450,235669843.48432872,99590681.69363244,136069711.79069626,1439891.1300602779,8.333963415343524e-4
0.35,15,50,189,73,9450,294587304.3554109,124488352.11704051,170089502.23837036,1799888.9125753478,6.667078126966155e-4
0.35,15,60,189,73,9450,353504765.226493,149386022.5404486,204109292.6860444,2159886.695090417,5.555846992935737e-4
0.35,15,70,189,73,9450,412422226.0975751,174283692.9638567,238129083.13371843,2519884.477605486,4.7621230681983365e-4
0.35,20,30,189,73,9450,176752382.6132465,99590681.69363242,77152250.91961408,816425.9356572919,0.0014698210181599617
0.35,20,40,189,73,9450,235669843.48432872,132787575.59150992,102872817.8928188,1088601.247543056,0.0011023320088125637
0.35,20,50,189,73,9450,294587304.3554109,165984469.4893874,128593384.86602348,1360776.55942882,8.818494055362733e-4
0.35,20,60,189,73,9450,353504765.226493,199181363.38726485,154313951.83922815,1632951.8713145838,7.348655040481738e-4
0.35,20,70,189,73,9450,412422226.0975751,232378257.2851423,180034518.81243283,1905127.1832003472,6.298792073210397e-4
0.35,25,30,189,73,9450,176752382.6132465,124488352.11704051,52254580.496205986,552958.5237693755,0.002170144682497902
0.35,25,40,189,73,9450,235669843.48432872,165984469.4893874,69675923.99494132,737311.3650258342,0.001627534928826106
0.35,25,50,189,73,9450,294587304.3554109,207480586.8617342,87097267.49367666,921664.2062822928,0.00130199262575296
0.35,25,60,189,73,9450,353504765.226493,248976704.23408103,104518610.99241197,1106017.047538751,0.001084974234954508
0.35,25,70,189,73,9450,412422226.0975751,290472821.60642785,121939954.49114728,1290369.8887952091,9.29965903900946e-4
0.35,30,30,189,73,9450,176752382.6132465,149386022.5404486,27356910.072797894,289491.1118814592,0.004145204984709085
0.35,30,40,189,73,9450,235669843.48432872,199181363.38726488,36479030.09706384,386021.48250861204,0.003108635281647125
0.35,30,50,189,73,9450,294587304.3554109,248976704.23408103,45601150.121329844,482551.8531357656,0.0024867793838155277
0.35,30,60,189,73,9450,353504765.226493,298772045.0808972,54723270.14559579,579082.2237629184,0.00207224458074764
0.35,30,70,189,73,9450,412422226.0975751,348567385.9277134,63845390.169861734,675612.5943900712,0.0017761658233789064
0.4,5,30,167,69,8350,167067320.5522467,21999528.892641027,145059441.65960565,1737238.8222707266,6.907513144516842e-4
0.4,5,40,167,69,8350,222756427.40299562,29332705.190188035,193415372.2128076,2316351.763027636,5.180560306745099e-4
0.4,5,50,167,69,8350,278445534.2537445,36665881.48773504,241771302.76600945,2895464.7037845445,4.144412461431593e-4
0.4,5,60,167,69,8350,334134641.1044934,43999057.78528205,290127233.3192113,3474577.644541453,3.453657171498801e-4
0.4,5,70,167,69,8350,389823747.9552423,51332234.08282906,338483163.8724132,4053690.5852983617,2.9602654044491583e-4
0.4,10,30,167,69,8350,167067320.5522467,43999057.78528205,123059912.76696464,1473771.41038281,8.142375347668751e-4
0.4,10,40,167,69,8350,222756427.40299562,58665410.38037607,164082667.02261955,1965061.8805104136,6.106677921452055e-4
0.4,10,50,167,69,8350,278445534.2537445,73331762.97547008,205105421.27827442,2456352.350638017,4.885292615647384e-4
0.4,10,60,167,69,8350,334134641.1044934,87998115.5705641,246128175.5339293,2947642.82076562,4.0710495571112383e-4
0.4,10,70,167,69,8350,389823747.9552423,102664468.16565812,287150929.78958416,3438933.2908932236,3.4894541373563947e-4
0.4,15,30,167,69,8350,167067320.5522467,65998586.677923076,101060383.8743236,1210303.9984948935,9.91486437698539e-4
0.4,15,40,167,69,8350,222756427.40299562,87998115.57056409,134749961.83243152,1613771.997993192,7.435994685074853e-4
0.4,15,50,167,69,8350,278445534.2537445,109997644.46320511,168439539.79053938,2017239.9974914896,5.948722023617632e-4
0.4,15,60,167,69,8350,334134641.1044934,131997173.35584615,202129117.7486472,2420707.996989787,4.957227395837214e-4
0.4,15,70,167,69,8350,389823747.9552423,153996702.24848714,235818695.70675513,2824175.9964880855,4.2490269781069666e-4
0.4,20,30,167,69,8350,167067320.5522467,87998115.5705641,79060854.98168258,946836.5866069772,0.001267378148430283
0.4,20,40,167,69,8350,222756427.40299562,117330820.76075214,105417256.64224347,1262482.1154759699,9.505085143701912e-4
0.4,20,50,167,69,8350,278445534.2537445,146663525.95094016,131773658.30280432,1578127.6443449617,7.603947654678387e-4
0.4,20,60,167,69,8350,334134641.1044934,175996231.1411282,158130059.96336517,1893773.1732139543,6.336556124952704e-4
0.4,20,70,167,69,8350,389823747.9552423,205328936.33131623,184486461.62392604,2209418.702082947,5.431292850326154e-4
0.4,25,30,167,69,8350,167067320.5522467,109997644.46320513,57061326.08904156,683369.1747190607,0.0017560054570698643
0.4,25,40,167,69,8350,222756427.40299562,146663525.95094016,76084551.45205545,911192.232958748,0.0013169559140154866
0.4,25,50,167,69,8350,278445534.2537445,183329407.4386752,95107776.81506929,1139015.2911984345,0.0010535416067482283
0.4,25,60,167,69,8350,334134641.1044934,219995288.92641026,114131002.17808312,1366838.3494381213,8.779384925022735e-4
0.4,25,70,167,69,8350,389823747.9552423,256661170.41414526,133154227.54109702,1594661.4076778085,7.525108428801035e-4
0.4,30,30,167,69,8350,167067320.5522467,131997173.35584615,35061797.19640054,419901.76283114415,0.0028578112935490536
0.4,30,40,167,69,8350,222756427.40299562,175996231.14112818,46751846.261867434,559902.3504415262,0.0021432308670497765
0.4,30,50,167,69,8350,278445534.2537445,219995288.92641023,58441895.327334255,699902.9380519072,0.0017145234499801511
0.4,30,60,167,69,8350,334134641.1044934,263994346.7116923,70131944.39280108,839903.5256622883,0.0014287355194202394
0.4,30,70,167,69,8350,389823747.9552423,307993404.4969743,81821993.45826799,979904.1132726704,0.0012246096161309663
